Номер выстрела,Координата X,Координата Y,Сообщение о попадании
1,3.04,4.11,False
2,0.37,3.46,False
3,1.99,4.44,False
4,1.78,4.59,False
5,0.27,3.7,False
6,2.99,4.54,False
7,2.97,1.14,True
8,2.89,-1.44,False
9,1.49,-1.25,False
10,0.1,-1.38,False
11,1.4,-0.51,False
12,2.02,0.98,True
13,1.07,3.33,False
14,0.15,1.76,False
15,1.04,2.36,False
16,1.6,0.87,True
17,2.01,1.63,True
18,2.81,-2.49,False
19,2.84,0.06,True
20,2.9,-3.06,False
21,3.16,1.75,True
22,1.16,-2.6,False
23,2.64,-0.2,False
24,2.16,3.05,False
25,0.77,4.27,False
26,0.48,3.95,False
27,0.16,3.46,False
28,0.39,-2.43,False
29,0.98,3.77,False
30,2.3,-0.86,False
31,0.2,0.29,False
32,0.07,-2.11,False
33,2.32,-1.64,False
34,1.49,4.04,False
35,2.59,0.55,True
36,1.45,-0.66,False
37,2.38,-0.11,False
38,1.2,-0.3,False
39,1.67,3.25,False
40,1.07,-0.05,False
41,0.14,0.52,False
42,1.19,0.78,True
43,3.02,0.32,True
44,2.28,4.25,False
45,1.04,2.2,False
46,0.78,1.3,False
47,1.85,2.83,False
48,0.19,1.29,False
49,3.12,0.57,True
50,1.79,3.26,False
51,2.22,3.0,False
52,1.0,-1.43,True
53,0.29,0.91,False
54,1.07,-1.96,True
55,1.76,0.7,True
56,0.87,0.77,True
57,1.4,1.11,True
58,1.13,1.42,False
59,0.02,-0.56,False
60,0.34,4.93,False
61,1.38,0.08,True
62,0.62,0.58,True
63,0.12,3.59,False
64,1.26,4.39,False
65,0.71,0.06,True
66,1.93,-1.94,True
67,1.38,3.64,False
68,0.94,3.32,False
69,0.38,-1.96,False
70,0.13,-0.42,False
71,3.14,-2.18,False
72,0.83,0.37,True
73,0.94,-2.45,False
74,0.18,2.26,False
75,1.58,0.93,True
76,0.62,4.44,False
77,2.68,-2.01,False
78,2.06,0.65,True
79,2.08,4.72,False
80,1.74,1.67,True
81,2.63,4.25,False
82,0.44,4.92,False
83,2.76,4.71,False
84,2.46,1.04,True
85,3.03,0.82,True
86,0.15,0.71,False
87,1.23,-0.54,False
88,3.06,-2.85,False
89,0.33,5.0,False
90,2.71,1.88,True
91,1.31,-2.61,False
92,1.81,-1.69,False
93,2.38,-2.46,True
94,1.28,-0.88,False
95,2.99,1.29,True
96,0.65,3.36,False
97,2.57,-2.66,True
98,3.19,-2.07,False
99,3.16,-0.33,False
100,2.37,-0.85,False
101,0.69,-3.12,False
102,1.98,4.71,False
103,1.98,2.72,False
104,0.11,3.35,False
105,0.01,0.83,False
106,1.58,0.14,True
107,2.74,-2.05,False
108,2.91,3.68,False
109,0.15,-1.62,False
110,1.3,0.06,True
111,0.45,-2.59,False
112,2.16,3.29,False
113,1.53,-3.16,False
114,2.84,2.27,True
115,1.02,-2.93,False
116,0.4,-2.47,False
117,0.64,1.41,False
118,2.5,2.95,False
119,1.66,-2.02,True
120,2.99,0.65,True
121,0.8,0.65,True
122,0.36,0.72,False
123,2.27,-0.96,False
124,0.19,1.23,False
125,2.84,1.11,True
126,2.9,0.67,True
127,0.37,1.11,False
128,1.23,0.03,True
129,0.88,3.63,False
130,2.08,1.0,True
131,0.22,-3.17,False
132,1.04,-0.49,False
133,2.24,-0.99,False
134,3.12,-2.94,False
135,0.36,-1.05,False
136,3.1,-1.27,False
137,2.57,1.93,True
138,2.06,3.97,False
139,0.46,-2.64,False
140,1.66,1.05,True
141,3.02,4.47,False
142,1.12,2.84,False
143,1.31,-1.48,True
144,0.31,1.71,False
145,1.47,0.43,True
146,1.43,2.5,False
147,1.2,0.34,True
148,1.1,1.08,True
149,0.34,-1.99,False
150,0.82,0.72,True
151,1.68,2.58,False
152,0.08,-1.65,False
153,1.72,-2.87,True
154,2.75,1.09,True
155,1.62,1.55,True
156,3.02,4.77,False
157,0.71,2.81,False
158,1.35,0.22,True
159,2.73,2.21,True
160,1.26,-1.48,True
161,1.71,3.86,False
162,0.12,-2.88,False
163,2.16,2.68,False
164,1.11,-0.85,False
165,0.75,-2.25,False
166,0.23,5.0,False
167,1.74,1.28,True
168,2.14,0.4,True
169,1.94,-3.18,False
170,1.0,3.77,False
171,1.0,3.63,False
172,0.12,4.97,False
173,2.5,-1.09,False
174,1.7,-0.9,False
175,1.23,4.29,False
176,0.45,-0.07,False
177,1.35,-2.9,False
178,0.67,3.77,False
179,0.25,1.09,False
180,1.76,-0.83,False
181,2.37,4.99,False
182,2.4,-0.55,False
183,0.24,-0.91,False
184,2.2,-1.48,False
185,0.59,4.07,False
186,2.73,-0.86,False
187,0.82,0.45,True
188,2.51,-2.25,False
189,2.41,2.45,False
190,2.68,-0.6,False
191,2.48,-2.8,False
192,1.13,-1.6,True
193,0.86,4.46,False
194,2.66,3.93,False
195,1.0,2.97,False
196,0.74,2.31,False
197,1.81,-3.13,False
198,0.2,-2.15,False
199,2.03,3.14,False
200,0.15,5.16,False
