Номер выстрела,Координата X,Координата Y,Сообщение о попадании
1,0.26,-2.43,False
2,1.79,-1.29,False
3,0.29,3.05,False
4,1.81,4.32,False
5,1.78,-1.24,False
6,2.16,4.44,False
7,4.71,2.46,False
8,1.37,1.22,True
9,3.59,0.66,True
10,4.4,3.0,True
11,5.08,-2.5,False
12,2.7,0.82,True
13,3.73,-0.84,False
14,4.22,0.89,False
15,4.23,-1.79,False
16,3.1,0.42,True
17,3.63,3.58,True
18,1.6,-2.07,True
19,0.46,-2.64,False
20,2.75,4.31,False
21,5.17,-1.15,False
22,1.58,-1.52,False
23,2.7,5.18,False
24,2.94,-2.58,False
25,3.5,1.52,True
26,2.17,1.24,True
27,3.27,1.31,True
28,2.24,-1.13,False
29,3.79,-2.33,False
30,2.5,0.68,True
31,0.13,-2.42,False
32,4.52,0.18,False
33,0.44,4.12,False
34,4.7,-1.96,False
35,3.39,1.72,True
36,5.08,-1.28,False
37,0.73,-2.64,False
38,2.52,1.13,True
39,1.96,-0.45,False
40,2.86,2.33,True
41,2.53,1.15,True
42,0.71,-2.42,False
43,0.82,-1.77,False
44,4.24,4.86,False
45,3.67,4.08,False
46,2.67,-2.33,False
47,0.53,-0.61,True
48,3.8,0.07,False
49,4.5,-0.42,False
50,1.72,1.91,False
51,3.4,-2.04,False
52,1.85,3.66,False
53,4.89,4.71,False
54,4.46,1.99,False
55,3.7,-1.17,False
56,0.47,0.67,False
57,0.17,4.08,False
58,3.04,0.25,True
59,4.45,1.86,False
60,2.65,2.24,True
61,1.11,1.93,False
62,4.06,5.09,False
63,4.02,-1.47,False
64,5.0,-0.57,False
65,2.22,4.29,False
66,1.59,1.42,True
67,2.42,1.32,True
68,2.22,1.27,True
69,1.67,-2.03,True
70,3.4,-1.95,False
71,3.39,1.25,True
72,3.92,-2.19,False
73,3.82,4.38,False
74,3.58,-0.8,False
75,5.09,5.1,False
76,2.44,3.36,False
77,3.94,2.99,True
78,4.14,4.42,False
79,2.69,2.07,True
80,4.94,3.81,False
81,1.67,-3.01,False
82,1.16,4.56,False
83,4.64,-2.29,False
84,2.91,-2.85,False
85,0.38,-2.77,False
86,2.42,0.66,True
87,2.29,-3.09,False
88,4.11,3.95,True
89,3.47,1.62,True
90,1.03,2.81,False
91,1.85,-0.83,False
92,1.68,4.95,False
93,4.07,2.63,True
94,1.37,-1.4,True
95,3.57,-0.82,False
96,1.37,0.78,True
97,0.55,1.24,False
98,4.06,-2.16,False
99,1.54,3.74,False
100,0.78,-2.63,False
